City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,uturoa,-16.7333,-151.4333,82.04,72,100,11.72,PF,1707017250
124,gapyeong,37.831,127.5106,50.31,60,47,1.86,KR,1707017250
125,ilulissat,69.2167,-51.1,-5.78,49,93,14.97,GL,1707017170
126,ola,59.5833,151.2833,1.71,75,87,11.07,RU,1707017251
127,fortuna,40.5982,-124.1573,49.66,92,0,0.0,US,1707017052
128,port mathurin,-19.6833,63.4167,79.59,61,10,12.01,MU,1707017251
129,smara,26.7384,-11.6719,58.48,12,96,10.89,EH,1707017251
130,east london,-33.0153,27.9116,74.34,83,75,10.36,ZA,1707017252
131,jamestown,42.097,-79.2353,27.01,99,0,1.01,US,1707017252
132,san patricio,28.017,-97.5169,64.26,53,1,5.01,US,1707017252
133,port saint john's,-31.6229,29.5448,71.29,82,12,4.45,ZA,1707017003
134,ierapetra,35.01,25.7353,50.14,67,1,3.0,GR,1707017252
135,keelung,25.1283,121.7419,73.58,91,99,9.71,TW,1707017253
136,putnam,36.1667,-85.65,51.69,68,0,5.75,US,1707017253
137,keflavik,64.0049,-22.5624,28.83,80,75,20.71,IS,1707017253
138,avarua,-21.2078,-159.775,86.05,74,4,6.91,CK,1707017253
139,vanimo,-2.6741,141.3028,87.84,63,44,7.34,PG,1707017254
140,saint croix,17.7397,-64.7388,73.96,80,0,5.75,VI,1707017254
141,ponnani,10.767,75.9252,76.32,67,69,7.47,IN,1707017254
142,kuta,-8.7233,115.1723,80.55,88,75,11.99,ID,1707017088
143,newman,37.3138,-121.0208,53.29,81,100,1.01,US,1707016977
144,punta arenas,-53.15,-70.9167,50.11,71,100,11.5,CL,1707017024
145,bethel,41.3712,-73.414,34.16,64,0,5.75,US,1707017255
146,st. john's,47.5649,-52.7093,30.88,93,100,20.0,CA,1707017255
147,vadso,70.0744,29.7487,28.56,86,100,13.8,NO,1707017255
148,duba,27.3513,35.6901,61.88,36,0,5.7,SA,1707017255
149,bardstown,37.8092,-85.4669,46.31,65,0,10.36,US,1707017255
150,carnarvon,-24.8667,113.6333,79.2,57,9,22.21,AU,1707017256
151,kerikeri,-35.2268,173.9474,72.27,46,0,8.23,NZ,1707017256
152,ust-nera,64.5667,143.2,-8.01,95,100,5.01,RU,1707017256
153,koryazhma,61.3143,47.1691,-2.09,100,88,3.78,RU,1707017256
154,west island,-12.1568,96.8225,76.98,94,100,6.91,CC,1707017256
155,atherton,53.5237,-2.4935,48.34,83,97,5.99,GB,1707017257
156,haiku-pauwela,20.9219,-156.3051,70.25,69,100,19.57,US,1707017002
157,puerto ayora,-0.7393,-90.3518,77.56,97,14,10.0,EC,1707017257
158,arkhangel'sk,64.5401,40.5433,19.51,86,100,11.18,RU,1707017257
159,nova vicosa,-17.8919,-39.3719,76.77,86,70,3.69,BR,1707017257
160,nyurba,63.2842,118.3319,-12.91,91,88,6.85,RU,1707017258
161,hirara,24.8,125.2833,75.47,83,75,9.22,JP,1707017258
162,trincomalee,8.5711,81.2335,80.92,77,75,13.31,LK,1707017248
163,sarmiento,-45.5882,-69.07,63.32,26,63,2.53,AR,1707017258
164,sault ste. marie,46.5168,-84.3333,28.96,100,100,3.44,CA,1707017258
165,camocim,-2.9022,-40.8411,78.69,89,96,11.01,BR,1707017258
166,alice springs,-23.7,133.8833,96.35,19,100,9.22,AU,1707017182
167,cabo san lucas,22.8909,-109.9124,69.76,65,0,7.0,MX,1707016966
168,broken hill,-31.95,141.4333,98.76,14,100,16.44,AU,1707017139
169,ciudad acuna,29.3232,-100.9522,64.69,20,0,12.66,MX,1707017259
170,iskateley,67.6803,53.1512,8.02,84,16,15.99,RU,1707017047
171,dhidhdhoo,6.8833,73.1,81.82,74,89,13.0,MV,1707017259
172,okhotsk,59.3833,143.3,-6.21,77,22,16.46,RU,1707017260
173,xinqing,48.2333,129.5,5.32,76,41,6.53,CN,1707017260
174,pizarro,4.9533,-77.366,77.94,89,55,2.82,CO,1707017260
175,macas,-2.3167,-78.1167,69.76,97,100,1.54,EC,1707017260
176,flying fish cove,-10.4217,105.6791,82.08,78,100,6.91,CX,1707017260
177,tura,25.5198,90.2201,65.71,26,0,2.55,IN,1707017022
178,olonkinbyen,70.9221,-8.7187,21.76,65,100,23.11,SJ,1707017121
179,ribeira grande,38.5167,-28.7,61.77,87,10,13.0,PT,1707017216
180,bengkulu,-3.8004,102.2655,79.18,78,100,2.73,ID,1707017261
181,beyneu,45.3167,55.2,31.41,93,100,8.88,KZ,1707017261
182,new norfolk,-42.7826,147.0587,60.3,55,100,1.74,AU,1707017261
183,szombathely,47.2309,16.6216,44.37,82,100,3.51,HU,1707017262
184,salekhard,66.53,66.6019,-10.46,100,100,1.07,RU,1707017262
185,tosontsengel,48.7567,98.2839,3.31,96,100,3.06,MN,1707017262
186,fredrikstad,59.2181,10.9298,38.35,69,100,6.91,NO,1707017262
187,el granada,37.5027,-122.4694,51.85,88,100,13.8,US,1707017029
188,holbrook,40.8123,-73.0784,36.63,57,100,10.36,US,1707017263
189,lebu,-37.6167,-73.65,57.72,83,0,19.51,CL,1707017263
190,aksu,41.1231,80.2644,26.02,66,100,4.68,CN,1707017263
191,hami,42.8,93.45,24.82,58,8,5.28,CN,1707017263
192,georgetown,5.4112,100.3354,89.53,70,20,5.75,MY,1707017250
193,azle,32.8951,-97.5459,58.5,55,0,4.0,US,1707017264
194,mana,5.6592,-53.7767,77.68,92,22,10.85,GF,1707017264
195,san francisco telixtlahuaca,17.3,-96.9,57.24,73,0,4.61,MX,1707017264
196,kangaba,11.9333,-8.4167,73.8,17,0,7.0,ML,1707017264
197,thompson,55.7435,-97.8558,32.16,100,100,5.75,CA,1707017264
198,maitum,6.0392,124.4986,85.71,66,73,4.83,PH,1707017264
199,pacific grove,36.6177,-121.9166,49.66,86,100,3.0,US,1707017265
200,hobyo,5.3505,48.5268,77.36,85,74,17.11,SO,1707017265
201,ponta delgada,37.7333,-25.6667,65.19,77,20,11.5,PT,1707017265
202,constantia,44.1833,28.65,39.88,80,100,14.65,RO,1707017045
203,shevchenko,48.5,35.0,41.16,90,100,15.14,UA,1707017265
204,arraial do cabo,-22.9661,-42.0278,76.87,93,100,13.96,BR,1707017265
205,susuman,62.7833,148.1667,-11.88,96,91,2.98,RU,1707017266
206,colonia,50.9333,6.95,51.06,90,100,13.8,DE,1707017266
207,crane,31.3974,-102.3501,55.63,27,1,33.98,US,1707017266
208,ar raqqah,35.95,39.0167,48.07,85,100,5.82,SY,1707017266
209,hadibu,12.65,54.0333,75.24,77,73,9.6,YE,1707017266
210,six-fours-les-plages,43.0938,5.84,51.46,81,8,12.55,FR,1707017267
211,college,64.8569,-147.8028,-35.91,64,20,0.0,US,1707017004
212,khandyga,62.6667,135.6,-31.31,97,86,0.67,RU,1707017267
213,vorgashor,67.5833,63.95,-6.0,96,23,5.03,RU,1707017030
214,fort mcmurray,56.7268,-111.381,13.51,85,0,2.3,CA,1707017267
215,cill airne,52.05,-9.5167,53.08,97,100,7.38,IE,1707017268
216,tobol'sk,58.2,68.2667,2.61,94,100,11.01,RU,1707017268
217,hovd,48.0056,91.6419,0.48,77,11,1.9,MN,1707017053
218,kyren,51.6828,102.1408,10.94,79,100,1.01,RU,1707017268
219,stettler,52.3168,-112.7186,28.15,80,97,18.41,CA,1707017268
220,sakassou,7.4546,-5.2926,78.64,28,96,2.39,CI,1707017269
221,zarghun shahr,32.8473,68.4457,13.84,89,14,2.48,AF,1707017269
222,tralee,52.2704,-9.7026,52.47,98,100,9.64,IE,1707017064
223,afif,23.9065,42.9172,49.08,37,29,9.93,SA,1707017269
224,vernon,50.2581,-119.2691,43.29,94,100,1.14,CA,1707017269
225,mount isa,-20.7333,139.5,89.37,51,100,21.85,AU,1707017269
226,tselinnoye,53.0833,85.6667,16.92,89,100,6.17,RU,1707017270
227,howrah,22.5892,88.3103,69.8,83,0,5.75,IN,1707017270
228,ranau,5.9538,116.6641,80.17,77,96,2.91,MY,1707017270
229,springfield,37.2153,-93.2982,49.21,94,100,10.36,US,1707017006
230,ximeicun,24.9639,118.3794,60.94,81,100,3.4,CN,1707017270
231,caleta de carquin,-11.0925,-77.6267,74.62,85,96,6.42,PE,1707017027
232,charters towers,-20.1,146.2667,89.49,50,100,9.46,AU,1707017270
233,ta`u,-14.2336,-169.5144,80.8,89,100,24.38,AS,1707017271
234,khanty-mansiysk,61.0042,69.0019,-12.89,70,40,2.24,RU,1707017271
235,la ronge,55.1001,-105.2842,30.45,80,100,11.5,CA,1707017271
236,gariaband,20.635,82.0614,71.62,34,0,2.44,IN,1707017271
237,alva,56.1528,-3.8051,46.27,76,100,19.98,GB,1707017271
238,turbat,26.0023,63.044,64.35,32,74,10.47,PK,1707017271
239,kailua-kona,19.6406,-155.9956,76.5,76,100,6.91,US,1707017272
240,smithers,54.7804,-127.1743,19.72,93,0,3.44,CA,1707017113
241,codrington,-38.2667,141.9667,76.48,42,2,14.94,AU,1707017250
242,mamou,10.5,-12.0,69.84,27,0,2.53,GN,1707017272
243,funadhoo,6.15,73.2667,82.27,71,100,15.77,MV,1707017272
244,yamada,39.4667,141.95,41.25,42,26,5.1,JP,1707017272
245,kokopo,-4.352,152.2633,82.98,78,67,5.86,PG,1707017273
246,port hedland,-20.3167,118.5667,89.65,66,40,23.02,AU,1707017273
247,bata,1.8639,9.7658,79.68,81,97,5.3,GQ,1707017273
248,jinan,36.6683,116.9972,30.51,50,100,9.46,CN,1707017273
249,port augusta,-32.5,137.7667,105.49,10,65,15.52,AU,1707017273
250,fortaleza,-3.7227,-38.5247,84.33,79,40,13.8,BR,1707017102
251,al majaridah,19.1236,41.9111,68.92,70,7,1.7,SA,1707017274
252,usinsk,65.9939,57.5281,-13.94,97,11,4.0,RU,1707017274
253,olovyannaya,50.95,115.5667,-10.26,94,45,1.32,RU,1707017274
254,kendari,-3.945,122.4989,87.21,64,77,4.18,ID,1707017275
255,ujae,8.9322,165.7642,81.18,80,99,21.14,MH,1707017275
256,mtimbira,-8.7833,36.35,71.91,99,99,1.07,TZ,1707017275
257,kyzyl-suu,42.3414,78.0056,18.57,59,92,7.49,KG,1707017275
258,popondetta,-8.7537,148.2534,91.51,59,38,7.52,PG,1707017275
259,piti village,13.4626,144.6933,85.08,71,75,17.27,GU,1707017276
260,vilyuchinsk,52.9306,158.4028,14.27,68,76,7.27,RU,1707017276
261,danjiangkou,32.5428,111.5086,30.31,89,100,4.03,CN,1707017276
